,Line
3258, It said only that the sender was  leaving immediately and to postpone the funeral until he came
3259,"    It was Gatsby’s father, a solemn old man, very helpless and dismayed,  bundled up in a long cheap ulster against the warm September day"
3260," His  eyes leaked continuously with excitement, and when I took the bag and  umbrella from his hands he began to pull so incessantly at his sparse  grey beard that I had difficulty in getting off his coat"
3261," He was on  the point of collapse, so I took him into the music-room and made him  sit down while I sent for something to eat"
3262," But he wouldn’t eat, and  the glass of milk spilled from his trembling hand"
3263,"    “I saw it in the Chicago newspaper,” he said"
3264, “It was all in the  Chicago newspaper
3265, I started right away
3266,”    “I didn’t know how to reach you
3267,"”    His eyes, seeing nothing, moved ceaselessly about the room"
3268,"    “It was a madman,” he said"
3269, “He must have been mad
3270,”    “Wouldn’t you like some coffee
3271,” I urged him
3272,    “I don’t want anything
3273," I’m all right now, Mr"
3274,—”    “Carraway
3275,"”    “Well, I’m all right now"
3276, Where have they got Jimmy
3277,"”    I took him into the drawing-room, where his son lay, and left him  there"
3278," Some little boys had come up on the steps and were looking into  the hall; when I told them who had arrived, they went reluctantly  away"
3279,    After a little while Mr
3280," Gatz opened the door and came out, his mouth  ajar, his face flushed slightly, his eyes leaking isolated and  unpunctual tears"
3281," He had reached an age where death no longer has the  quality of ghastly surprise, and when he looked around him now for the  first time and saw the height and splendour of the hall and the great  rooms opening out from it into other rooms, his grief began to be  mixed with an awed pride"
3282, I helped him to a bedroom upstairs; while he  took off his coat and vest I told him that all arrangements had been  deferred until he came
3283,"    “I didn’t know what you’d want, Mr"
3284, Gatsby—”    “Gatz is my name
3285,”    “—Mr
3286, Gatz
3287, I thought you might want to take the body West
3288,”    He shook his head
3289,    “Jimmy always liked it better down East
3290, He rose up to his position in  the East
3291," Were you a friend of my boy’s, Mr"
3292,—
3293,”    “We were close friends
3294,"”    “He had a big future before him, you know"
3295," He was only a young man,  but he had a lot of brain power here"
3296,"”    He touched his head impressively, and I nodded"
3297,"    “If he’d of lived, he’d of been a great man"
3298, A man like James J
3299,  Hill
3300, He’d of helped build up the country
3301,"”    “That’s true,” I said, uncomfortably"
3302,"    He fumbled at the embroidered coverlet, trying to take it from the  bed, and lay down stiffly—was instantly asleep"
3303,"    That night an obviously frightened person called up, and demanded to  know who I was before he would give his name"
3304,    “This is Mr
3305," Carraway,” I said"
3306,    “Oh
3307,” He sounded relieved
3308, “This is Klipspringer
3309,"”    I was relieved too, for that seemed to promise another friend at  Gatsby’s grave"
3310," I didn’t want it to be in the papers and draw a  sightseeing crowd, so I’d been calling up a few people myself"
3311, They  were hard to find
3312,"    “The funeral’s tomorrow,” I said"
3313," “Three o’clock, here at the house"
3314,  I wish you’d tell anybody who’d be interested
3315,"”    “Oh, I will,” he broke out hastily"
3316," “Of course I’m not likely to see  anybody, but if I do"
3317,”    His tone made me suspicious
3318,    “Of course you’ll be there yourself
3319,"”    “Well, I’ll certainly try"
3320," What I called up about is—”    “Wait a minute,” I interrupted"
